Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2018,BK41,Kensington-Ocean Parkway,48,12061.48582,35510,49.6,34.4,42.1,4.2,76511,1
2018,BX01,Claremont-Bathgate,30,28683.48534,35560,54.6,27.6,10.9,8.4,37407,1
2018,QN19,Glendale,45,23633.13246,35576,50.6,39,25.4,2.9,91661,1
2018,BK79,Ocean Hill,25,21727.8708,35818,52.4,32.8,20.1,3.6,55202,1
2010,QN01,South Jamaica,25,3421.803874,35833,54.8,31.7,16.2,9.4,62402,0
2018,BX08,West Farms-Bronx River,34,4579.195879,36014,52,32.5,10.2,5.9,43953,1
2018,BK90,East Williamsburg,50,29131.46521,36038,51.7,34.1,46.9,4.9,91339,1
2010,BX34,Melrose South-Mott Haven North,52,11654.2963,36047,55.4,29.1,10.1,9.3,38105,0
2010,BX26,Highbridge,22,11550.51208,36521,53.2,29.9,9.9,8.6,40594,0
2010,QN37,Kew Gardens Hills,24,19325.21909,36579,51.7,34.6,42.4,5.3,82492,0
2010,BK41,Kensington-Ocean Parkway,33,10889.99375,36834,50.8,32.5,35.5,5,64309,0
2018,QN38,Pomonok-Flushing Heights-Hillcrest,28,37487.05125,36975,54.3,35.1,32.2,6.7,77575,1
2018,BX55,Soundview-Bruckner,52,230.8098079,37130,50.8,32.1,13.4,6.9,47672,1
2018,QN37,Kew Gardens Hills,21,36390.35466,37584,51.7,36.3,41.9,3.9,84294,1
2010,BX03,Eastchester-Edenwald-Baychester,29,3347.290661,37653,56.3,33.1,18.5,8.4,64429,0
2010,QN35,Briarwood-Jamaica Hills,21,13203.57723,37855,50.8,37.4,37.3,5.7,76657,0
2018,BX03,Eastchester-Edenwald-Baychester,25,11473.66935,37887,55.4,36,23.9,5.1,73035,1
2018,BX63,West Concourse,42,33496.75414,38081,52,32.5,14.5,6.1,42188,1
2010,QN21,Middle Village,31,0,38291,51.4,42.8,28,3.1,89449,0
2010,BK44,Madison,39,9863.45729,38605,51.9,39.5,36.7,3.3,77531,0
2018,BK69,Clinton Hill,33,33749.9873,38930,54.4,33.4,61,3.9,109468,1
